label,backoffblisp unique,backoffblisp unique err,backoffblisp,backoffblisp err,ble unique,ble unique err,ble,ble err,naiveblisp unique,naiveblisp unique err,naiveblisp,naiveblisp err,naivewisp unique,naivewisp unique err,naivewisp,naivewisp err,rndto0blisp unique,rndto0blisp unique err,rndto0blisp,rndto0blisp err,rndto10blisp unique,rndto10blisp unique err,rndto10blisp,rndto10blisp err,rndto3blisp unique,rndto3blisp unique err,rndto3blisp,rndto3blisp err
Moving,1500.000000,48.744230,12357.600000,0.000000,1552.800000,95.849883,13159.200000,0.000000,1584.000000,16.970563,15112.800000,0.000000,835.200000,60.358926,8222.400000,0.000000,1540.800000,20.079841,14968.800000,0.000000,1627.200000,60.358926,13137.600000,0.000000,1593.600000,33.298649,15012.000000,0.000000
Out of range,1622.400000,42.764471,13334.400000,0.000000,1574.400000,31.061230,13034.400000,0.000000,1581.600000,35.394915,13056.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1598.400000,31.061230,13360.800000,0.000000,1605.600000,44.416213,13010.400000,0.000000,1579.200000,78.963283,13296.000000,0.000000
In range,1665.600000,5.366563,16274.400000,0.000000,1615.200000,20.079841,13039.200000,0.000000,1658.400000,5.366563,16327.200000,0.000000,1665.600000,5.366563,15763.200000,0.000000,1656.000000,12.000000,16394.400000,0.000000,1658.400000,13.145341,15979.200000,0.000000,1658.400000,10.039920,16435.200000,0.000000
