Time[s], Channel 0
0.000000000000000, 0
0.365900187500000, 1
0.365906187500000, 0
0.753423250000000, 1
0.753429187500000, 0
1.140955375000000, 1
1.140961375000000, 0
1.528483000000000, 1
1.528488937500000, 0
1.916003250000000, 1
1.916009250000000, 0
2.303533687500000, 1
2.303539687500000, 0
2.691066500000000, 1
2.691072500000000, 0
3.078589187500000, 1
3.078595125000000, 0
3.466110375000000, 1
3.466116375000000, 0
3.853636437500000, 1
3.853642375000000, 0
4.241163125000000, 1
4.241169125000000, 0
4.628693375000000, 1
4.628699375000000, 0
5.016223062500000, 1
5.016229062500000, 0
5.403750437499999, 1
5.403756437499999, 0
5.791281625000000, 1
5.791287625000000, 0
6.178808062500000, 1
6.178814062500000, 0
6.566336437500000, 1
6.566342437499999, 0
