Time[s], Channel 0
0.000000000000000, 0
0.084166000000000, 1
0.084172000000000, 0
0.489764937500000, 1
0.489770937500000, 0
0.895378437500000, 1
0.895384437500000, 0
1.300987250000000, 1
1.300993187500000, 0
1.706597187500000, 1
1.706603125000000, 0
2.112209500000000, 1
2.112215500000000, 0
2.517808750000000, 1
2.517814687500000, 0
2.923402875000000, 1
2.923408875000000, 0
3.329010500000000, 1
3.329016500000000, 0
3.734611750000000, 1
3.734617750000000, 0
4.140208687499999, 1
4.140214687499999, 0
4.545799437499999, 1
4.545805437499999, 0
4.951391000000000, 1
4.951396937500000, 0
5.356986875000000, 1
5.356992875000000, 0
5.762583250000000, 1
5.762589187500000, 0
6.168186374999999, 1
6.168192374999999, 0
6.573796124999999, 1
6.573802124999999, 0
