Time[s], Channel 0
0.000000000000000, 0
0.268271375000000, 1
0.268277312500000, 0
0.673861812500000, 1
0.673867812500000, 0
1.079447812500000, 1
1.079453750000000, 0
1.485050125000000, 1
1.485056125000000, 0
1.890635000000000, 1
1.890641000000000, 0
2.296220312500000, 1
2.296226312500000, 0
2.701798562500000, 1
2.701804562500000, 0
3.107369875000000, 1
3.107375875000000, 0
3.512936750000000, 1
3.512942750000000, 0
3.918512687500000, 1
3.918518687500000, 0
4.324096000000000, 1
4.324102000000000, 0
4.729678687500000, 1
4.729684687500000, 0
5.135270312499999, 1
5.135276312499999, 0
5.540861749999999, 1
5.540867687500000, 0
5.946444500000000, 1
5.946450500000000, 0
6.352025562500000, 1
6.352031562500000, 0
6.757604750000000, 1
6.757610750000000, 0
